,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
160,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh",164819,https://open.spotify.com/track/6aPMWbbdhDhiJHlknZb9Yx
161,"Mummy Nu Pasand (From ""Jai Mummy Di"")","Sunanda Sharma",164493,https://open.spotify.com/track/74qF0JeFMVilMEeFDiQZ48
162,"Coca Cola (From ""Luka Chuppi"")","Tony Kakkar",163877,https://open.spotify.com/track/2hOlxSH3Zck6a2ki4xtKGV
163,"Like It Is",Kygo,163516,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
164,"O Saathi","Atif Aslam",162124,https://open.spotify.com/track/6fScgF2Y63ScU73nYju0ny
165,"Call You Mine","The Chainsmokers",161965,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
166,"Chitta Kurta","Karan Aujla",161939,https://open.spotify.com/track/7mUuarQfB0E0Xs80Vzd2gw
167,"Chashni (From ""Bharat"")","Abhijeet Srivastava",161030,https://open.spotify.com/track/5X5db3FrBOHbibrFKA02MQ
168,"Morni Banke (From ""Badhaai Ho"")","Guru Randhawa",160885,https://open.spotify.com/track/5x3K3Ld54TtkYKdQvrFOV3
169,"Bombay to Punjab","Deep Jandu",159953,https://open.spotify.com/track/1xoQjCAP6a63tZXbsMziXk
170,Pal,Javed-Mohsin,159845,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC
171,Thunder,"Imagine Dragons",159423,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
172,"Girls Like You (feat. Cardi B)","Maroon 5",158445,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
173,"Let Me Love You","DJ Snake",157450,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
174,"Ik Vaari Aa (From ""Raabta"")","Arijit Singh",157004,https://open.spotify.com/track/5sul5AkWmzi2fE70oS7mK9
175,"Humnava Mere","Jubin Nautiyal",156587,https://open.spotify.com/track/0loZn1c5heXie7OAtvK6nH
176,"BELIEVE IT",PARTYNEXTDOOR,155109,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
177,"Ramuloo Ramulaa - Duet","Anurag Kulkarni",154694,https://open.spotify.com/track/4uXJADmybUHUgycBWFHeq6
178,"Tu Hi Das De","Tedi Pagg",154453,https://open.spotify.com/track/65hNUaQSau704UtsRZVhKy
179,"Tum Na Ho","Arjun Kanungo",154223,https://open.spotify.com/track/65QRFvzB2ZLJ1BygWPxxVj
180,"Kho Gaye Hum Kahan","Jasleen Royal",153864,https://open.spotify.com/track/6nZiYSBwPQ7fYnVWkkkj4g
181,"Dooriyan (feat. Kaprila)","Dino James",153669,https://open.spotify.com/track/4nKc9yiwXWlEByq1oMfHU6
182,"Enna Sona","A.R. Rahman",153180,https://open.spotify.com/track/6bdpj89aYEBjhpsenXAsmO
183,Laare,"Maninder Buttar",152804,https://open.spotify.com/track/7GfdU12uRL2xtSQcRXmqNN
184,changes,XXXTENTACION,152530,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
185,Jeet,Ritviz,152374,https://open.spotify.com/track/4ye8U0982eHtlhlvePpxtP
186,Jatta,"Sidhu Moose Wala",152189,https://open.spotify.com/track/59jtE0b5xfFYjSXfpvFNHR
187,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",151866,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu
188,"Naina Da Kya Kasoor","Amit Trivedi",151816,https://open.spotify.com/track/4JQxGJ8jsKW8pOUVoAgOZr
189,"Dance Like","Harrdy Sandhu",151665,https://open.spotify.com/track/36EPfDEkfLYQLt8Fvced8x
190,"everything i wanted","Billie Eilish",151661,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
191,"Yaen Ennai Pirindhaai - Male","Sid Sriram",151128,https://open.spotify.com/track/2GYzXSeNa3Y0BfIfS1VJj3
192,"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar",150698,https://open.spotify.com/track/2a6vHSWc5vuPJrypTjCfRx
193,Jhanjar,"Karan Aujla",150078,https://open.spotify.com/track/55BALenqt1mQK4XjSfXwVA
194,Intezaar,Mithoon,149502,https://open.spotify.com/track/6p2o4ep90wpkh0qzUmyFuO
195,"Pyaar Toh Tha (From ""Bala"")",Sachin-Jigar,149187,https://open.spotify.com/track/3boJs8tx10SQr2nUUm3FAr
196,Samjhawan,"Jawad Ahmad",148967,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq
197,"Adore You","Harry Styles",148643,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
198,"hot girl bummer",blackbear,147301,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
199,"Wishlist (feat. Kaprila)","Dino James",146053,https://open.spotify.com/track/39m83gjG1lNr7Un0dJndFw
200,"ily (i love you baby) (feat. Emilee)","Surf Mesa",145114,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
