,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
175,Shallow,"Lady Gaga",737952,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
176,"Pisadinha - Ao Vivo","Diego & Victor Hugo",735575,https://open.spotify.com/track/36P6ptTyxOggYgR2aoZiAl
177,"Só Pra Castigar","Wesley Safadão",733241,https://open.spotify.com/track/2X8sssaxS5GReg6945B6RW
178,"Adore You","Harry Styles",726418,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
179,"Um Pedido","Hungria Hip Hop",721298,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1
180,"Surtada - Versão Funk","DJ Dollynho Da Lapa",714776,https://open.spotify.com/track/450ngaSmjQMdJFVzCADNQB
181,"Tudo Ok","Thiaguinho MT",713697,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
182,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",688654,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
183,Morena,Pezão,686262,https://open.spotify.com/track/3fWhwTdoZXScaoGReWzvtv
184,"Agora é Tudo Meu","Dennis DJ",685017,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz
185,"Bomba Relógio","Luísa Sonza",684474,https://open.spotify.com/track/0HocIafyaS4C7rDGTJXYnj
186,Deixa,"Mc Th",683757,https://open.spotify.com/track/4zZ2rPOa8itw3VuusVSicv
187,"Obrigado por Estragar Tudo - Ao Vivo","Marília Mendonça",680127,https://open.spotify.com/track/4a5GPCo8oX4vvaRkciKlih
188,"Lose Control",MEDUZA,679719,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
189,"My Oh My (feat. DaBaby)","Camila Cabello",677821,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
190,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",674398,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
191,"É natural (Participação especial de Bruno Cardoso) - Ao vivo",Ferrugem,668901,https://open.spotify.com/track/0vT797IpZpF5o1XLCnWCUL
192,"Tá Rocheda","Os Barões Da Pisadinha",667265,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
193,Incendiou,"Zé Ricardo & Thiago",664841,https://open.spotify.com/track/1kL7yLlJAv488yfh7BGmZK
194,"Posto 24h (feat. Wesley Safadão) - Ao Vivo","Lucas Lucco",664768,https://open.spotify.com/track/3mNmUjoDHYDYj08IaRPtg0
195,"Senta braba","MC WM",663321,https://open.spotify.com/track/2SgVsDXzET5EU8VngMh9dv
196,"Dois Corações",Melim,660907,https://open.spotify.com/track/4xwPOyN9VgaTPehdsLiYul
197,"A Fila Anda - Ao Vivo",Thiaguinho,658835,https://open.spotify.com/track/4pl0csAczZemDLdyNYOmxT
198,"Nem de Graça",Pixote,655101,https://open.spotify.com/track/11Y1IGMIThaxu4ijcXRNYs
199,"Hear Me Now",Alok,653626,https://open.spotify.com/track/39cmB3ZoTOLwOTq7tMNqKa
200,"Uma nora pra cada dia","MC Kevinho",652619,https://open.spotify.com/track/2bbFhnxYjeb9jYEX2MDKLQ
